WK_NAAM;WK_CODE;INWONERS;MANNEN;VROUWEN;AANTAL_0_15_JAAR;AANTAL_15_25_JAAR;AANTAL_25_45_JAAR;AANTAL_45_65_JAAR;AANTAL_65_PLUS;WESTERSE_ACHTERGROND;NIET_WESTERSE_ACHTERGROND;ARBEIDSPARTICIPATIE
De Reef;BU05184110;250;185;70;50;60;120;20;5;10;200;74
Wijk 42 Ypenburg;WK051842;27050;13515;13540;5630;4035;6355;8790;2240;3585;8355;72
Bosweide;BU05184208;1995;1015;985;365;365;275;770;215;425;310;70
Tedingerbuurt;BU05184209;0;0;0;0;0;0;0;0;0;0;.
De Venen;BU05184211;1780;925;860;445;155;680;395;100;220;795;71
Morgenweide;BU05184212;7150;3560;3590;1475;1055;1810;2210;610;920;2545;72
Singels;BU05184213;5545;2765;2780;1015;820;1235;1865;610;745;1860;69
Waterbuurt;BU05184214;4780;2395;2385;960;680;1285;1460;390;585;1700;72
De Bras;BU05184215;5795;2855;2940;1365;960;1070;2085;310;685;1145;75
Wijk 43 Forepark;WK051843;140;70;70;20;15;25;50;40;15;10;.
Vlietzoom-Oost;BU05184316;100;55;50;10;10;10;35;35;15;0;.
De Rivieren;BU05184317;40;20;25;5;5;10;15;5;0;10;.
Wijk 44 Leidschenveen;WK051844;20790;10425;10365;4460;2835;4860;6520;2115;2215;6915;74
De Lanen;BU05184418;5420;2760;2660;1375;730;1485;1535;290;580;2010;77
De Velden;BU05184419;4165;2110;2055;750;615;865;1440;500;430;1365;73
De Vissen;BU05184420;8460;4180;4275;1485;1235;1665;2895;1180;910;2490;72
Rietbuurt;BU05184421;2745;1370;1375;850;260;850;650;140;295;1055;77
